id_grid,cellCentroidLatitude__,cellCentroidLongitude__,x2_3_7_8TCDD,Oxamyl100G_kg_kg_hectare_,Glyphosate360G_L_L_hectare_,ChromeEtCompos_s_exprim_sEnTantQueCr_,Compos_sOrganiquesVolatilsNonM_thaniques_COVNM_,HydrocarburesAromatiquesPolycycliques_HAP_,MercureEtCompos_s_exprim_sEnTantQueHg_,Particules_PM10_,ZincEtCompos_s_exprim_sEnTantQueZn_,impact_x2_3_7_8TCDD,impact_Oxamyl100G_kg_kg_hectare_,impact_Glyphosate360G_L_L_hectare_,impact_ChromeEtCompos_s_exprim_sEnTantQueCr_,impact_Compos_sOrganiquesVolatilsNonM_thaniques_COVNM_,impact_HydrocarburesAromatiquesPolycycliques_HAP_,impact_MercureEtCompos_s_exprim_sEnTantQueHg_,impact_Particules_PM10_,impact_ZincEtCompos_s_exprim_sEnTantQueZn_,impact
2345,-4.445,24.135,9.72742767227897e-07,0.0103986293310069,0.0110972849903536,1.02383106097482e-18,1.81425706939823e-17,5.15278709075235e-17,7.30632696313697e-19,3.3846559656732e-17,1.05907365688439e-19,7.90009479779404e-09,2.27605198797079e-13,2.3193325629839e-14,5.34951729359343e-26,8.6177210796416e-25,1.95805909448589e-23,6.55786682903322e-23,7.073930968257e-23,1.69028155638749e-26,0
2346,-4.445,23.985,3.49480078073285e-07,0.00459295582170809,0.00234296559059628,1.40681113101401e-19,2.41335646547553e-18,7.08458854307608e-18,1.00454995293528e-19,4.6535776569727e-18,1.40879829013301e-20,3.1279194255602e-08,1.10509858277264e-12,5.38052627244387e-14,8.07934534020679e-26,1.25977207497823e-24,2.95852417558857e-23,9.90859142536719e-23,1.06883371625349e-22,2.47091949703008e-26,0
2347,-4.445,23.835,9.36339737661157e-08,0.0027594575091848,0.00052044168289309,1.2383252334184e-20,2.04605746355092e-19,6.24035771037596e-19,8.84843347802333e-21,4.09903680869431e-19,1.1943873053568e-21,0,0,0,0,0,0,0,0,0,0
2348,-4.445,23.685,1.83884647106012e-08,0.00178654827300233,0.000223003905576175,5.04660687137011e-22,7.93925276003175e-21,2.54533105996253e-20,3.60911883723862e-22,1.67192430135079e-20,4.6345438681816e-23,0,0,0,0,0,0,0,0,0,0
2349,-4.445,23.535,3.03679017637922e-09,0.00141674549184481,0.000189320137151982,8.02962863505951e-24,1.15103065109967e-22,4.05595501526611e-22,5.75108828821852e-24,2.66419164951723e-22,6.7191490597938e-25,0,0,0,0,0,0,0,0,0,0
2350,-4.445,23.385,6.80393046352822e-10,0.00116176847719127,0.000168707748481214,7.1652476988594e-26,8.574185094222e-25,3.62855276543594e-24,5.14505886626861e-26,2.38344851979893e-24,5.00518664464485e-27,0,0,0,0,0,0,0,0,0,0
2351,-4.445,23.235,2.54081995063124e-10,0.00068271940227314,0.000102848426591243,4.81614800635137e-27,5.37716263700778e-26,2.44104177202668e-25,3.46124320741109e-27,1.60342091583319e-25,3.1389226088819e-28,0,0,0,0,0,0,0,0,0,0
2352,-4.445,23.085,7.65699903035979e-11,0.000233429395437074,3.57236198327651e-05,3.40489967704728e-28,3.67261086825681e-27,1.72645739693006e-26,2.44800765250629e-28,1.13403954502354e-26,2.14388930589569e-29,0,0,0,0,0,0,0,0,0,0
2353,-4.445,22.935,1.66000153687442e-11,5.26996391057809e-05,8.14869114722438e-06,1.63278864298008e-29,1.72472819641527e-28,8.28104833639672e-28,1.17420040218316e-29,5.43948336311348e-28,1.00681137059518e-30,0,0,0,0,0,0,0,0,0,0
2354,-4.445,22.785,2.68426130883005e-12,8.3662885936744e-06,1.30235654500642e-06,5.35778815533269e-31,5.5626705739499e-30,2.71784640070864e-29,3.85373470501047e-31,1.7852426020961e-29,3.24721313533531e-32,0,0,0,0,0,0,0,0,0,0
